DIV_CD,PLANT_CD,REQ_DT,REQ_NO,REQ_SEQ,WC_CD,LINE_CD,PLAN_SEQ,BATCH_NO,ITEM_TYPE,LOT_NO,ITEM_CD,PALLET_QTY,REQ_QTY,USE_QTY,USE_FLG,ST_FLG,BATCH_FORM,ST_TYPE,PROC_CD,BARCODE,REMARK,CHG_RSN,TEMP_CD1,TEMP_NO1,INSERT_ID,INSERT_DT,UPDATE_ID,UPDATE_DT,ZMESIFNO,PRE_REQ_NO,PRE_REQ_SEQ
01,1130,2025-11,BC2511130191,1,13GC,13G01C,7,1,SU,G2510-CLC-NAD-XXX-XXX-CN-1041,F013C004,4500.0000,100.0000,100.0000,N,N,10,SM,SE,PFERT-251014-0282,,,MES,NULL,zzaxxs00,2025-11-13 09:53:14.370,cam1b,2025-11-13 16:21:02.473,,NULL,NULL
01,1130,2025-11,BC2511130192,1,13GC,13G01C,8,1,SU,G2510-CLC-NAD-XXX-XXX-CN-1041,F013C004,4500.0000,600.0000,600.0000,N,N,10,SM,SE,PFERT-251014-0280,,,MES,NULL,zzaxxs00,2025-11-13 09:53:14.380,cam1b,2025-11-13 16:23:39.777,,NULL,NULL
